# x y z sld
-8.262585 13.738561 -14.626367 -1.000000
16.700361 -1.227984 -7.183695 -1.000000
8.065713 8.581360 5.968080 -1.000000
24.787235 1.454561 -2.706699 -1.000000
21.763746 4.725026 -3.781462 -1.000000
-10.908396 -6.749664 24.764154 -1.000000
-4.578089 11.938759 -17.395277 -1.000000
21.936330 1.668497 6.033535 -1.000000
-8.045713 -16.628089 22.584668 -1.000000
-10.072946 14.769596 19.231829 -1.000000
1.565382 -15.885128 -6.354200 -1.000000
-7.325671 -0.733996 1.762483 -1.000000
-18.140061 3.865112 -22.635634 -1.000000
-2.555518 13.906598 7.564120 -1.000000
7.050504 6.846673 -13.831843 -1.000000
14.711492 9.279403 -11.894088 -1.000000
-1.113327 -8.138137 12.321366 -1.000000
19.853589 4.673321 -10.957607 -1.000000
-10.228842 -19.081465 -11.050138 -1.000000
-5.272697 -18.863856 2.417520 -1.000000
10.681959 10.251047 2.292749 -1.000000
-23.332543 -4.451419 -14.974172 -1.000000
5.390457 26.615869 6.391979 -1.000000
0.681602 10.897957 18.097325 -1.000000
-16.193026 -8.632987 -4.899730 -1.000000
-9.091063 -0.892265 -16.534953 -1.000000
-11.536060 21.998465 5.575066 -1.000000
-6.510917 -15.599008 -4.228130 -1.000000
-6.911187 -10.931046 11.226983 -1.000000
12.622022 6.139486 -11.682829 -1.000000
-2.152668 -21.894168 -18.423030 -1.000000
-17.861453 -13.288811 8.408777 -1.000000
-10.847681 23.743961 7.038751 -1.000000
-12.261263 21.295789 12.773202 -1.000000
7.051094 18.443688 21.391199 -1.000000
-10.657235 -0.543838 -8.313534 -1.000000
-16.751168 -14.410891 -0.637930 -1.000000
-9.805766 -4.109739 4.460113 -1.000000
12.819435 -14.121814 9.391336 -1.000000
3.201724 -1.776395 26.929895 -1.000000
-23.497352 -10.782725 0.411075 -1.000000
17.290772 3.443234 -3.969537 -1.000000
12.255153 8.981702 -23.618642 -1.000000
6.242329 14.702522 -8.629735 -1.000000
7.446256 1.153749 -23.798488 -1.000000
-4.396998 21.435572 -0.026883 -1.000000
10.036302 3.199941 4.617188 -1.000000
-11.432232 -19.904306 18.903892 -1.000000
17.952645 9.656885 -21.746983 -1.000000
-13.347218 12.574430 -17.129825 -1.000000
-6.491588 -28.162434 -0.809454 -1.000000
8.186644 -24.550353 -11.731166 -1.000000
6.338554 -12.957285 -15.642816 -1.000000
26.371114 3.252795 4.903542 -1.000000
-10.959064 13.532206 -19.918752 -1.000000
-24.389062 11.229767 -3.889425 -1.000000
22.009787 13.092902 -0.342862 -1.000000
-0.496267 -1.586318 -7.491041 -1.000000
-6.968776 -28.428762 4.541034 -1.000000
-25.027542 -8.297291 -12.660728 -1.000000
-13.718296 22.577226 -5.634854 -1.000000
-11.865108 3.434995 -4.228616 -1.000000
-13.237450 16.573176 3.095925 -1.000000
-0.597578 -9.971136 -2.114783 -1.000000
11.566863 18.638002 -18.984144 -1.000000
-26.697041 -4.710726 -12.481361 -1.000000
17.971588 -8.326662 14.277176 -1.000000
-24.083797 12.175713 -6.256682 -1.000000
12.713165 -8.833477 -20.500050 -1.000000
-12.890108 13.904604 10.499344 -1.000000
1.888974 0.014579 -27.491487 -1.000000
-27.833604 3.456186 10.097979 -1.000000
-8.327045 17.533515 5.446886 -1.000000
-25.026767 7.227291 -9.310118 -1.000000
-14.495252 10.314170 -16.984827 -1.000000
3.740980 4.560404 -14.475591 -1.000000
-11.285438 7.736441 -2.878969 -1.000000
12.821411 -1.513000 5.801029 -1.000000
3.425625 19.201511 -5.125097 -1.000000
-2.056598 11.250364 0.284400 -1.000000
-7.549252 22.586300 2.393834 -1.000000
8.379770 -6.684472 -16.232201 -1.000000
-7.292511 -2.853808 -22.851755 -1.000000
-0.791321 -19.439311 -0.745565 -1.000000
12.945204 -6.313815 4.787489 -1.000000
19.114017 16.981226 -1.860180 -1.000000
-12.812219 -9.558697 9.407992 -1.000000
14.541611 -12.778590 -11.257609 -1.000000
-13.605762 11.201184 21.124199 -1.000000
-3.325315 -23.268014 -16.994191 -1.000000
20.662088 17.632286 4.126286 -1.000000
0.823888 -8.445921 18.936236 -1.000000
-10.884116 -11.864354 -11.964331 -1.000000
-19.660000 -12.738088 12.531006 -1.000000
-16.262632 22.214012 -8.411179 -1.000000
27.288148 4.383261 6.552219 -1.000000
14.391707 8.782035 -20.717664 -1.000000
13.718369 -12.738435 2.469118 -1.000000
7.582260 13.073286 8.637472 -1.000000
9.247150 6.136882 10.093916 -1.000000
27.073728 -3.607339 -7.920120 -1.000000
-9.921499 -11.985121 -11.248225 -1.000000
-20.928424 -7.809862 -0.972649 -1.000000
-2.023595 -17.819634 -19.001444 -1.000000
-18.525690 -10.991256 18.569105 -1.000000
-25.245881 -3.523596 -9.893343 -1.000000
-7.487559 5.983504 7.984124 -1.000000
-4.175154 6.756768 20.680286 -1.000000
-15.446271 -6.935018 -2.938889 -1.000000
-1.153223 -23.542049 -1.504516 -1.000000
-0.442873 11.932061 -5.966639 -1.000000
15.542851 -6.274833 -22.412986 -1.000000
13.379900 -19.083487 7.868275 -1.000000
-12.977650 -0.940215 -14.426871 -1.000000
-16.940597 12.062144 14.234003 -1.000000
2.105495 25.377581 13.027729 -1.000000
-4.267993 -9.125769 14.454796 -1.000000
21.306182 7.050908 14.363229 -1.000000
-21.972804 9.349014 0.237748 -1.000000
-6.302220 -12.052747 15.708847 -1.000000
-10.041320 7.295173 -16.463454 -1.000000
3.366967 -20.388904 15.094672 -1.000000
12.909411 -9.989413 -1.783359 -1.000000
-27.229402 1.595716 4.261572 -1.000000
14.656442 -0.183358 23.769919 -1.000000
20.162594 -21.792891 0.134015 -1.000000
-19.559803 14.786887 15.673276 -1.000000
-13.008215 16.119426 6.213581 -1.000000
-2.039666 4.842928 11.019696 -1.000000
